geneLines,MEX,TEX,WES,ControlMean,MEX / WES,TEX / WES
ASER.12.32,11.863,4,56,119.2,0.099521812,0.033557047
ASER.12.32,10.214,43,84,119.2,0.085687919,0.360738255
ASER.12.32,11.344,233,77,119.2,0.095167785,1.954697987
ASER.12.32,12.354,43,34,119.2,0.10364094,0.360738255
ASER.12.32,12.405,55,345,119.2,0.104068792,0.461409396
BASE32.43,55,11.863,12,60.2,0.913621262,0.197059801
BASE32.43,45,10.214,90,60.2,0.747508306,0.169667774
BASE32.43,20,11.344,70,60.2,0.332225914,0.188438538
BASE32.43,33,10.214,75,60.2,0.548172757,0.169667774
BASE32.43,55,12.405,54,60.2,0.913621262,0.206063123